"","ENTREZID","SYMBOL"
"781","27407","Abcf2"
"782","74732","Stx11"
"783","19056","Ppp3cb"
"784","19088","Prkar2b"
"785","272347","Zfp398"
"786","22122","Gfus"
"787","13178","Dck"
"788","69202","Ptms"
"789","102693","Phldb1"
"790","17444","Grap2"
"791","27963","D9Wsu74e"
"792","70516","5730408A14Rik"
"793","19342","Rab4b"
"794","18700","Piga"
"795","72519","Pip4p2"
"796","18933","Prrx1"
"797","56858","Or11h4"
"798","99375","Cul4a"
"799","114873","Dscaml1"
"800","192734","Lrrc75b"
"801","226519","Lamc1"
"802","17224","Mcpt1"
"803","216395","Rxylt1"
"804","320010","D730035F11Rik"
"805","71844","Nup58"
"806","15130","Hbb-b2"
"807","30839","Fbxw5"
"808","100017","Ldlrap1"
"809","22268","Upk1b"
"810","24014","Rnasel"
"811","226251","Ablim1"
"812","104002","Ctsq"
"813","270049","Galntl6"
"814","11637","Ak2"
"815","111970","Dlx1as"
"816","66949","Trim59"
"817","13244","Degs1"
"818","239719","Mrtfb"
"819","76132","Faxc"
"820","22192","Ube2m"
"821","15505","Hsph1"
"822","64436","Inpp5e"
"823","231889","Bud31"
"824","81014","Vmn1r58"
"825","72123","Ccdc71l"
"826","231086","Hadhb"
"827","22145","Tuba4a"
"828","56318","Acp3"
"829","75124","Nxnl2"
"830","100503471","Gm15867"
"831","74929","4930487N04Rik"
"832","108645","Mat2b"
"833","226412","R3hdm1"
"834","19018","Scand1"
"835","80744","Cwc22"
"836","71207","Nudt4"
"837","15379","Onecut1"
"838","109011","1700020M10Rik"
"839","74102","Slc35a5"
"840","73992","4930448F12Rik"
"841","12865","Cox7a1"
"842","381760","Ssbp1"
"843","219189","Vwa8"
"844","77869","E130112B07Rik"
"845","26356","Ing1"
"846","97148","C78692"
"847","213452","Dstyk"
"848","101055907","Gm15246"
"849","17984","Ndn"
"850","67563","Ciao3"
"851","50884","Nckap1"
"852","76338","Rab2b"
"853","230649","Atpaf1"
"854","17897","Myl3"
"855","77940","A930004D18Rik"
"856","70757","Hacd2"
"857","67127","Lce1a1"
"858","22327","Vbp1"
"859","232975","Atp1a3"
"860","81003","Trim23"
"861","212880","Ddx46"
"862","231991","Creb5"
"863","100041379","Zfp980"
"864","67845","Rnf115"
"865","12394","Runx1"
"866","28200","Dhrs4"
"867","69082","Zc3h15"
"868","216739","Acsl6"
"869","243168","Hsd17b13"
"870","78444","Pgpep1l"
"871","20813","Srp14"
"872","26569","Slc27a4"
"873","216028","Lrrtm3"
"874","320557","Fam169a"
"875","242505","Rasef"
"876","94224","Srd5a2"
"877","16554","Kif13b"
"878","666339","Muc17"
"879","74500","5430439C14Rik"
"880","69634","Clybl"
"881","225443","Gm94"
"882","17203","Mc5r"
"883","13137","Cd55b"
"884","108912","Cdca2"
"885","11534","Adk"
"886","277463","Gpr107"
"887","68473","Mob1b"
"888","28193","Reep3"
"889","12819","Col15a1"
"890","19395","Rasgrp2"
"891","100504631","Vmn1r239-ps"
"892","15490","Hsd17b7"
"893","52712","Zkscan6"
"894","96887","C78997"
"895","67876","Coq10b"
"896","18294","Ogg1"
"897","241656","Pak5"
"898","100978","Nfxl1"
"899","71990","Ddx54"
"900","192970","Dhrs11"
"901","237711","Eml6"
"902","97249","C80889"
"903","108100","Baiap2"
"904","58230","Rnf8"
"905","66875","Swt1"
"906","54650","Sfmbt1"
"907","68274","Toporsl"
